id,banda,canción,fecha,hora_de_inicio,hora_de_finalizacion,escenario,pais ,ciudad,idioma 
DE_1,Diamante Eléctrico,Retroceder,05-04-2013,16:15,17:00,Picnic,Colombia,Bogotá,Español
DE_2,Diamante Eléctrico,Combustión ,05-04-2013,16:15,17:00,Picnic,Colombia,Bogotá,Español
DE_3,Diamante Eléctrico,Telescopio,05-04-2013,16:15,17:00,Picnic,Colombia,Bogotá,Español
DE_4,Diamante Eléctrico,Cicatriz,05-04-2013,16:15,17:00,Picnic,Colombia,Bogotá,Español
DE_5,Diamante Eléctrico,Todo va a arder,05-04-2013,16:15,17:00,Picnic,Colombia,Bogotá,Español
DE_6,Diamante Eléctrico,Kamikaze,05-04-2013,16:15,17:00,Picnic,Colombia,Bogotá,Español
DE_7,Diamante Eléctrico,Té para 3 (cover),05-04-2013,16:15,17:00,Picnic,Colombia,Bogotá,Español
DE_8,Diamante Eléctrico,Nos rompemos igual,05-04-2013,16:15,17:00,Picnic,Colombia,Bogotá,Español
DE_9,Diamante Eléctrico,Diamante eléctrico,05-04-2013,16:15,17:00,Picnic,Colombia,Bogotá,Español
TD_1,Two Door Cinema Club ,Sleep Alone,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_2,Two Door Cinema Club ,Undercover Martyn,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_3,Two Door Cinema Club ,Do You Want It All ?,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_4,Two Door Cinema Club ,This Is The Life,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_5,Two Door Cinema Club ,Wake Up,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_6,Two Door Cinema Club ,You're Not Stubborn,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_7,Two Door Cinema Club ,Sun,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_8,Two Door Cinema Club ,Pyramid,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_9,Two Door Cinema Club ,I Can Talk,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_10,Two Door Cinema Club ,Next Year,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_11,Two Door Cinema Club ,Something Good Can Work,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_12,Two Door Cinema Club ,Handshake,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_13,Two Door Cinema Club ,"Eat That Up, It's Good for You",05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_14,Two Door Cinema Club ,Someday,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
TD_15,Two Door Cinema Club ,What You Know,05-04-2013,17:30,18:45,Picnic,Reino Unido,Bangor,Inglés
LL_1,León Larregui ,Aurora Boreal,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
LL_2,León Larregui ,Carmín,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
LL_3,León Larregui ,Perdonar,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
LL_4,León Larregui ,Souvenir,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
LL_5,León Larregui ,Brillas,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
LL_6,León Larregui ,Resistolux,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
LL_7,León Larregui ,Pérdida total,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
LL_8,León Larregui ,Resguardom Ether,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
LL_9,León Larregui ,Femme Fatal,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
LL_10,León Larregui ,Como tú,05-04-2013,19:15,20:15,Picnic,México,Ciudad de México,Español
SNB_1,Silencio No Hay Banda,La Prisión,05-04-2013,20:45,21:30,Picnic,Colombia,Bogotá,Español
SNB_2,Silencio No Hay Banda,Alpha Centauri,05-04-2013,20:45,21:30,Picnic,Colombia,Bogotá,Español
SNB_3,Silencio No Hay Banda,Bicycle Day,05-04-2013,20:45,21:30,Picnic,Colombia,Bogotá,Español
VM_1,Vetusta Morla,Los Días Raros,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_2,Vetusta Morla,Boca en la Tierra,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_3,Vetusta Morla,Un Día en el Mundo,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_4,Vetusta Morla,Copenhague,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_5,Vetusta Morla,Maldita Dulzura,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_6,Vetusta Morla,El Hombre del Saco,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_7,Vetusta Morla,Mapas,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_8,Vetusta Morla,Baldosas Amarillas,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_9,Vetusta Morla,Sálvese Quien Pueda,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_10,Vetusta Morla,Valiente,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_11,Vetusta Morla,Lo Que Te Hace Grande,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
VM_12,Vetusta Morla,La Cuadratura del Círculo,05-04-2013,22:00,23:00,Picnic,España,Madrid,Español
FL_1,Foals,Prelude,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_2,Foals,Olympic Airways,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_3,Foals,Balloons,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_4,Foals,My Number,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_5,Foals,Blue Blood,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_6,Foals,Late Night,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_7,Foals,Providence,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_8,Foals,Spanish Sahara,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_9,Foals,Red Socks Pugie,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_10,Foals,Electric Bloom,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_11,Foals,Inhaler,05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
FL_12,Foals,"Two Steps, Twice",05-04-2013,23:30,0:45,Picnic,Reino Unido,Oxford,Inglés
STA_1,Steve Aoki,Boneless,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_2,Steve Aoki,Aoki Jump,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_3,Steve Aoki,Year Million,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_4,Steve Aoki,Singularity,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_5,Steve Aoki,Livin My Love,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_6,Steve Aoki,Turbulence,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_7,Steve Aoki,Shotgun Music 1.9 (Ken Loi Botup),05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_8,Steve Aoki,Warp 1.9,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_9,Steve Aoki,New Noise,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_10,Steve Aoki,Steve Jobs,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_11,Steve Aoki,Phat Brahms,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_12,Steve Aoki,Piledriver,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_13,Steve Aoki,Bring You To Life (Transcend),05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_14,Steve Aoki,No Beef,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_15,Steve Aoki,Omega,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_16,Steve Aoki,Come With Me,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_17,Steve Aoki,Ladi Dadi,05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
STA_18,Steve Aoki,Pursuit of Happiness (Nightmare),05-04-2013,1:15,2:45,Picnic,Estados Unidos,Newport Beach,Inglés
CR_1,Carlos Reyes & La Killer Band,Somos Hermanos,07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
CR_2,Carlos Reyes & La Killer Band,Lo Que Queda de Mi,07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
CR_3,Carlos Reyes & La Killer Band,Ganar o Perder,07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
CR_4,Carlos Reyes & La Killer Band,Aquel Abril,07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
CR_5,Carlos Reyes & La Killer Band,El Fantasma de Edwin,07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
CR_6,Carlos Reyes & La Killer Band,Pregunta por Mi,07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
CR_7,Carlos Reyes & La Killer Band,Cuando me Atraparon (U.P.J),07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
CR_8,Carlos Reyes & La Killer Band,En Algún Lugar,07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
CR_9,Carlos Reyes & La Killer Band,Abajo de la 15,07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
CR_10,Carlos Reyes & La Killer Band,Sin Mirar Atrás,07-04-2013,12:30,13:15,Estéreo,Colombia,Bogotá,Español
MBT_1,Meridian Brothers,Desesperanza,07-04-2013,13:15,13:15,Estéreo,Colombia,Bogotá,Español
MBT_2,Meridian Brothers,Homenaje a la Mujer Colombiana,07-04-2013,13:15,13:15,Estéreo,Colombia,Bogotá,Español
MBT_3,Meridian Brothers,Salsa Caliente,07-04-2013,13:15,13:15,Estéreo,Colombia,Bogotá,Español
MBT_4,Meridian Brothers,La Gitana Me Ha Dejado,07-04-2013,13:15,13:15,Estéreo,Colombia,Bogotá,Español
MBT_5,Meridian Brothers,Fiesta,07-04-2013,13:15,13:15,Estéreo,Colombia,Bogotá,Español
MBT_6,Meridian Brothers,Soy El Pinchadiscos Del Amor,07-04-2013,13:15,13:15,Estéreo,Colombia,Bogotá,Español
MBT_7,Meridian Brothers,Purple Haze (The Jimi Hendrix Experience cover),07-04-2013,13:15,13:15,Estéreo,Colombia,Bogotá,Inglés
MBT_8,Meridian Brothers,Guaracha U.F.O.,07-04-2013,13:15,13:15,Estéreo,Colombia,Bogotá,Español
MBT_9,Meridian Brothers,Salsa del Zombie,07-04-2013,13:15,13:15,Estéreo,Colombia,Bogotá,Español
JCL_1,Juan Cirerol,Eso Es Correcto Señor,07-04-2013,15:00,15:45,Estéreo,México,Mexicali,Español
JCL_2,Juan Cirerol,Clonazepam Blues,07-04-2013,15:00,15:45,Estéreo,México,Mexicali,Español
JCL_3,Juan Cirerol,La Novia del Pajarillo ,07-04-2013,15:00,15:45,Estéreo,México,Mexicali,Español
JCL_4,Juan Cirerol,La Florecilla,07-04-2013,15:00,15:45,Estéreo,México,Mexicali,Español
JCL_5,Juan Cirerol,Crema Dulce,07-04-2013,15:00,15:45,Estéreo,México,Mexicali,Español
JCL_6,Juan Cirerol,Se Vale Soñar,07-04-2013,15:00,15:45,Estéreo,México,Mexicali,Español
JCL_7,Juan Cirerol,Noches de Prisa,07-04-2013,15:00,15:45,Estéreo,México,Mexicali,Español
JCL_8,Juan Cirerol,Metanfeta,07-04-2013,15:00,15:45,Estéreo,México,Mexicali,Español
CMS_1,Carla Morrison,Me Encanta,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_2,Carla Morrison,Compartir,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_3,Carla Morrison,Me Puede/Falta de Respeto,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_4,Carla Morrison,Maleza,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_5,Carla Morrison,Hasta La Piel,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_6,Carla Morrison,Pajarito de Amor,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_7,Carla Morrison,Cómo Es,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_8,Carla Morrison,Lágrimas,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_9,Carla Morrison,Déjenme Llorar,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_10,Carla Morrison,Eres Tú,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
CMS_11,Carla Morrison,Yo Sigo Aquí,07-04-2013,16:15,17:15,Estéreo,México,Tecate,Español
ETM_1,Esteman,Intro,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
ETM_2,Esteman,El Distractor,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
ETM_3,Esteman,Agüita de Coco,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
ETM_4,Esteman,La Cosita Tropical,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
ETM_5,Esteman,De Otro Planeta,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
ETM_6,Esteman,Pobre Corazón,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
ETM_7,Esteman,Robot,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
ETM_8,Esteman,True Love,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
ETM_9,Esteman,Aquí Estoy Yo,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
ETM_10,Esteman,El Pimentón,07-04-2013,17:45,18:30,Estéreo,Colombia,Bogotá,Español
CTV_1,Café Tacvba,El Baile y El Salón,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_2,Café Tacvba,Como Te Extraño Mi Amor (Leo Dan Cover),07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_3,Café Tacvba,Las Flores,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_4,Café Tacvba,La Ingrata,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_5,Café Tacvba,Olita de Altamar,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_6,Café Tacvba,Cero y Uno,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_7,Café Tacvba,Volver a Comenzar,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_8,Café Tacvba,Déjate Caer (Los Tres Cover),07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_9,Café Tacvba,Chilanga Banda ,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_10,Café Tacvba,El Fin de la Infancia,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_11,Café Tacvba,La Chica de la Banda,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_12,Café Tacvba,De Este Lado del Camino,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_13,Café Tacvba,Aprovéchate,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_14,Café Tacvba,Eres,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
CTV_15,Café Tacvba,Esa Noche,07-04-2013,19:00,20:15,Estéreo,México,Naucalpan de Juárez,Español
NOR_1,New Order,The Ecstasy of Gold (Elio Morricone Song),07-04-2013,20:45,22:15,Estéreo,Reino Unido,Salford,Inglés
NOR_2,New Order,Elegia,07-04-2013,20:45,22:15,Estéreo,Reino Unido,Salford,Inglés
NOR_3,New Order,Crystal (con Brandon Flowers),07-04-2013,20:45,22:15,Estéreo,Reino Unido,Salford,Inglés
NOR_4,New Order,Regret,07-04-2013,20:45,22:15,Estéreo,Reino Unido,Salford,Inglés
